SCC,차종,소분류,연료,물질,연식,추가조건,배출계수,열화계수,,
7010201,승용차,소형,휘발유,CO,’06-’08,,1.0000E-04*V^2-7.1000E-03*V+2.2450E-01,Tf10p_10W,,
7010201,승용차,소형,휘발유,CO,’09-’11,,9.2000E-05*V^2-6.5320E-03*V+2.0654E-01,Tf10p_10W,,
7010201,승용차,소형,휘발유,CO,’12-’13,,8.9120E-05*V^2-6.3275E-03*V+2.0007E-01,Tf10p_10W,,
7010201,승용차,소형,휘발유,CO,’14,,8.6240E-05*V^2-6.1230E-03*V+1.9361E-01,Tf10p_10W,,
7010201,승용차,소형,휘발유,CO,’15,,8.3360E-05*V^2-5.9186E-03*V+1.8714E-01,Tf10p_10W,,
7010201,승용차,소형,휘발유,CO,’16,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_10W,,
7010201,승용차,소형,휘발유,CO,’17,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_10W,,
7010201,승용차,소형,휘발유,CO,’18>,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’86<,,15.953*V^(-0.5059),Tf10p_5W,,
7010201,승용차,소형,휘발유,VOC,’87-’90,,15.607*V^(-1.0423),Tf10p_5W,,
7010201,승용차,소형,휘발유,VOC,’91-’99,,32.017*V^(-1.4171),Tf10p_5W,,
7010201,승용차,소형,휘발유,VOC,’00-’02,,0.8428*V^(-0.8829),Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’03-’05,,0.1738*V^(-0.7268),Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’06-’08,,0.0633*V^(-1.0484),Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’06-’08,,1.3200E-06*V^2-1.8800E-04*V+7.7000E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’09-’11,,0.0570*V^(-1.0484),Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’09-’11,,1.1880E-06*V^2-1.6920E-04*V+6.9300E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’12-’13,,0.0547*V^(-1.0484),Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’12-’13,,1.1405E-06*V^2-1.6243E-04*V+6.6528E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’14,,0.0524*V^(-1.0484),Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’14,,1.0930E-06*V^2-1.5566E-04*V+6.3756E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’15,,0.0501*V^(-1.0484),Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’15,,1.0500E-06*V^2-1.4890E-04*V+6.09840E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’16,,5.7153E-02*V^-1.0656E+00,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’16,,1.4308E-06*V^2-1.3307E-04*V+3.2987E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’17,,6.2620E-02*V^-1.1016E+00,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’17,,1.3125E-06*V^2-1.2579E-04*V+3.3016E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’18>,,6.7287E-02*V^-1.1300E+00,Tf10p_10W,,
7010201,승용차,소형,휘발유,VOC,’18>,,1.2232E-06*V^2-1.2029E-04*V+3.3037E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,NOx,’86<,,3.1140*V^(-0.2278),Tf10p_5W,,
7010201,승용차,소형,휘발유,NOx,’87-’90,,6.2007*V^(-0.6781),Tf10p_5W,,
7010201,승용차,소형,휘발유,NOx,’91-’99,,7.5244*V^(-0.7634),Tf10p_5W,,
7010201,승용차,소형,휘발유,NOx,’00-’02,,1.2613*V^(-0.3873),Tf10p_10W,,
7010201,승용차,소형,휘발유,NOx,’03-’05,,0.1563*V^(-0.2671),Tf10p_10W,,
7010201,승용차,소형,휘발유,NOx,’06-’08,,-3.5000E-06*V^2+3.3000E-04*V+1.1200E-02,Tf10p_10W,,
7010201,승용차,소형,휘발유,NOx,’09-’11,,-3.2511E-06*V^2+3.0653E-04*V+1.0404E-02,Tf10p_10W,,
7010201,승용차,소형,휘발유,NOx,’12-’13,,-3.1615E-06*V^2+2.9809E-04*V+1.0117E-02,Tf10p_10W,,
7010201,승용차,소형,휘발유,NOx,’14,,-3.0719E-06*V^2+2.8964E-04*V+9.8301E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,NOx,’15,,-2.9823E-06*V^2+2.8119E-04*V+9.5434E-03,Tf10p_10W,,
7010201,승용차,소형,휘발유,NOx,’16,,5.5718E-07*V^2-1.4999E-04*V+1.3699E-02,Tf10p_10W,,
